,# feature,class,assembly,assembly_unit,seq_type,chromosome,genomic_accession,start,end,strand,product_accession,non-redundant_refseq,related_accession,name,symbol,GeneID,locus_tag,feature_interval_length,product_length,attributes
3419,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1760216,1760686,-,,,,,,,SY84_08710,471,,
3421,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1760725,1761897,-,,,,,,,SY84_08715,1173,,
3423,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1761917,1763182,-,,,,,,,SY84_08720,1266,,
3425,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1763206,1763976,-,,,,,,,SY84_08725,771,,
3427,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1763970,1764257,-,,,,,,,SY84_08730,288,,
3429,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1764254,1764808,-,,,,,,,SY84_08735,555,,
3431,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1764874,1765536,+,,,,,,,SY84_08740,663,,
3433,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1765628,1766353,+,,,,,,,SY84_08745,726,,
3435,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1766369,1766929,+,,,,,,,SY84_08750,561,,
3437,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1766949,1768016,+,,,,,,,SY84_08755,1068,,
3439,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1768069,1769955,+,,,,,,,SY84_08760,1887,,
3441,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1769942,1771198,-,,,,,,,SY84_08765,1257,,
3443,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1771283,1771810,+,,,,,,,SY84_08770,528,,
3445,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1771816,1772061,+,,,,,,,SY84_08775,246,,
3447,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1772064,1772684,+,,,,,,,SY84_08780,621,,
3449,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1772947,1773831,-,,,,,,,SY84_08785,885,,
3451,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1773996,1774871,+,,,,,,,SY84_08790,876,,
3453,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1774974,1775603,+,,,,,,,SY84_08795,630,,
3455,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1775672,1776886,+,,,,,,,SY84_08800,1215,,
3457,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1776853,1777650,+,,,,,,,SY84_08805,798,,
3459,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1777637,1779178,-,,,,hypothetical protein,,,SY84_08810,1542,,pseudo
3460,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1779347,1780582,+,,,,,,,SY84_08815,1236,,
3462,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1780509,1781447,-,,,,,,,SY84_08820,939,,
3464,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1781506,1784022,+,,,,,,,SY84_08825,2517,,
3466,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1784062,1785786,-,,,,,,,SY84_08830,1725,,
3468,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1785811,1786305,-,,,,,,,SY84_08835,495,,
3470,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1786362,1787339,+,,,,,,,SY84_08840,978,,
3472,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1787387,1788538,-,,,,,,,SY84_08845,1152,,
3474,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1788721,1789374,+,,,,,,,SY84_08850,654,,
3476,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1789371,1790324,+,,,,,,,SY84_08855,954,,
3478,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1790341,1790955,+,,,,,,,SY84_08860,615,,
3480,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1790958,1791158,+,,,,,,,SY84_08865,201,,
3482,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1791162,1791701,-,,,,,,,SY84_08870,540,,
3484,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1791736,1792641,-,,,,,,,SY84_08875,906,,
3486,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1792638,1793972,-,,,,,,,SY84_08880,1335,,
3488,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1794075,1795163,+,,,,,,,SY84_08885,1089,,
3490,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1795174,1795824,-,,,,,,,SY84_08890,651,,
3492,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1796003,1796728,-,,,,,,,SY84_08895,726,,
3494,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1796733,1796915,-,,,,,,,SY84_08900,183,,
3496,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1797029,1798510,-,,,,,,,SY84_08905,1482,,
3498,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1798674,1798907,-,,,,,,,SY84_08910,234,,
3500,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1798937,1799956,-,,,,,,,SY84_08915,1020,,
3502,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1799953,1801062,-,,,,,,,SY84_08920,1110,,
3504,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1801276,1802877,-,,,,,,,SY84_08925,1602,,
3506,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1803012,1804823,+,,,,,,,SY84_08930,1812,,
3508,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1804929,1805273,+,,,,,,,SY84_08935,345,,
3510,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1805270,1806007,+,,,,,,,SY84_08940,738,,
3512,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1806042,1806791,+,,,,,,,SY84_08945,750,,
3514,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1806775,1807614,+,,,,,,,SY84_08950,840,,
3516,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1807681,1808754,-,,,,,,,SY84_08955,1074,,
3518,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1809203,1810201,-,,,,,,,SY84_08960,999,,
3520,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1810261,1810791,-,,,,,,,SY84_08965,531,,
3522,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1810775,1811209,-,,,,,,,SY84_08970,435,,
3524,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1811206,1811628,-,,,,,,,SY84_08975,423,,
3526,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1811625,1812419,-,,,,,,,SY84_08980,795,,
3528,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1812939,1813175,-,,,,hypothetical protein,,,SY84_08985,237,,pseudo
3529,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1814192,1814701,+,,,,hypothetical protein,,,SY84_08990,510,,pseudo
3530,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1814731,1816125,+,,,,,fumC,,SY84_08995,1395,,
3532,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1816380,1816790,+,,,,,,,SY84_09000,411,,
3534,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1816920,1817579,+,,,,,,,SY84_09005,660,,
3536,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1817579,1819021,+,,,,,,,SY84_09010,1443,,
3538,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1819071,1820156,+,,,,,,,SY84_09015,1086,,
3540,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1820165,1820452,-,,,,,,,SY84_09020,288,,
3542,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1820471,1821430,+,,,,,,,SY84_09025,960,,
3544,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1821542,1822915,+,,,,,,,SY84_09030,1374,,
3546,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1823276,1824358,+,,,,,,,SY84_09035,1083,,
3548,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1824507,1825775,+,,,,,eno,,SY84_09040,1269,,
3550,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1825846,1827288,+,,,,,,,SY84_09045,1443,,
3552,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1827547,1828800,-,,,,,,,SY84_09050,1254,,
3554,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1828978,1829547,+,,,,,,,SY84_09055,570,,
3556,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1829570,1830124,+,,,,,,,SY84_09060,555,,
3558,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1830111,1830788,+,,,,,,,SY84_09065,678,,
3560,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1831454,1833166,-,,,,,,,SY84_09070,1713,,
3562,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1833409,1833927,-,,,,,,,SY84_09075,519,,
3564,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1834046,1834486,-,,,,,,,SY84_09080,441,,
3566,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1834499,1834774,-,,,,,,,SY84_09085,276,,
3568,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1834816,1835706,-,,,,,,,SY84_09090,891,,
3570,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1835842,1836150,-,,,,,,,SY84_09095,309,,
3572,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1836307,1836810,+,,,,,,,SY84_09100,504,,
3574,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1836831,1837757,+,,,,,,,SY84_09105,927,,
3576,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1837771,1838736,-,,,,,,,SY84_09110,966,,
3578,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1838887,1839765,-,,,,,,,SY84_09115,879,,
3580,gene,rRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1840538,1842044,+,,,,,,,SY84_09120,1507,,
3582,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1842208,1842723,-,,,,,,,SY84_09125,516,,
3584,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1842948,1843697,-,,,,,,,SY84_09130,750,,
3586,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1843694,1844626,-,,,,,,,SY84_09135,933,,
3588,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1844623,1845705,-,,,,,,,SY84_09140,1083,,
3590,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1845833,1846747,-,,,,,,,SY84_09145,915,,
3592,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1846869,1847162,-,,,,,,,SY84_09150,294,,
3594,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1847269,1848999,-,,,,,,,SY84_09155,1731,,
3596,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1849269,1850318,+,,,,,,,SY84_09160,1050,,
3598,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1850315,1850929,+,,,,,,,SY84_09165,615,,
3600,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1851275,1853056,+,,,,,,,SY84_09170,1782,,
3602,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1853053,1854024,+,,,,,,,SY84_09175,972,,
3604,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1854078,1854542,-,,,,,,,SY84_09180,465,,
3606,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1854597,1855136,-,,,,,,,SY84_09185,540,,
3608,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1855305,1855715,-,,,,,,,SY84_09190,411,,
3610,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1855790,1856563,+,,,,,,,SY84_09195,774,,
3612,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1856564,1857016,-,,,,,,,SY84_09200,453,,
3614,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1857022,1857249,-,,,,,,,SY84_09205,228,,
3616,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1857251,1858096,-,,,,,,,SY84_09210,846,,
3618,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1858175,1858966,+,,,,,,,SY84_09215,792,,
3620,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1859103,1859756,-,,,,hypothetical protein,,,SY84_09220,654,,pseudo
3621,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1859828,1860412,+,,,,,,,SY84_09225,585,,
3623,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1860357,1861565,-,,,,,,,SY84_09230,1209,,
3625,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1861826,1862473,+,,,,,,,SY84_09235,648,,
3627,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1862531,1863418,-,,,,,,,SY84_09240,888,,
3629,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1863582,1865006,+,,,,,,,SY84_09245,1425,,
3631,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1865142,1865393,+,,,,,,,SY84_09250,252,,
3633,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1865757,1866392,+,,,,,,,SY84_09255,636,,
3635,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1866503,1867384,+,,,,,,,SY84_09260,882,,
3637,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1867381,1868496,-,,,,,,,SY84_09265,1116,,
3639,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1868519,1868902,-,,,,,,,SY84_09270,384,,
3641,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1868906,1869976,-,,,,,,,SY84_09275,1071,,
3643,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1870139,1872568,-,,,,,,,SY84_09280,2430,,
3645,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1872667,1873140,-,,,,,,,SY84_09285,474,,
3647,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1873246,1873995,+,,,,,,,SY84_09290,750,,
3649,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1874063,1874734,-,,,,,,,SY84_09295,672,,
3651,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1874879,1875337,-,,,,,,,SY84_09300,459,,
3653,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1875434,1876606,-,,,,,,,SY84_09305,1173,,
3655,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1876670,1877017,-,,,,,,,SY84_09310,348,,
3657,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1877151,1877846,+,,,,,,,SY84_09315,696,,
3659,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1877903,1878349,+,,,,,,,SY84_09320,447,,
3661,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1878403,1878678,-,,,,,,,SY84_09325,276,,
3663,gene,tRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1878859,1878942,+,,,,,,,SY84_09330,84,,
3665,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1879240,1879449,-,,,,,,,SY84_09335,210,,
3667,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1879506,1879859,-,,,,,,,SY84_09340,354,,
3669,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1879939,1880670,+,,,,,,,SY84_09345,732,,
3671,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1880731,1881966,-,,,,,,,SY84_09350,1236,,
3673,gene,tRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1882075,1882151,+,,,,,,,SY84_09355,77,,
3675,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1882397,1883335,-,,,,,,,SY84_09360,939,,
3677,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1883660,1883926,+,,,,,,,SY84_09365,267,,
3679,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1884154,1884369,+,,,,,,,SY84_09370,216,,
3681,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1884573,1885109,-,,,,,,,SY84_09375,537,,
3683,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1885236,1885703,+,,,,,,,SY84_09380,468,,
3685,gene,rRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1885969,1888857,+,,,,,,,SY84_09385,2889,,
3687,gene,rRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1888979,1889095,+,,,,,,,SY84_09390,117,,
3689,gene,tRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1889167,1889242,+,,,,,,,SY84_09395,76,,
3691,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1889346,1890146,-,,,,,,,SY84_09400,801,,
3693,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1890143,1891483,-,,,,,,,SY84_09405,1341,,
3695,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1891554,1892780,+,,,,,,,SY84_09410,1227,,
3697,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1892777,1893607,-,,,,,,,SY84_09415,831,,
3699,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1893654,1894835,-,,,,,,,SY84_09420,1182,,
3701,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1894930,1896042,+,,,,,,,SY84_09425,1113,,
3703,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1896063,1897055,+,,,,,,,SY84_09430,993,,
3705,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1897097,1897753,-,,,,,,,SY84_09435,657,,
3707,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1897887,1898708,+,,,,,,,SY84_09440,822,,
3709,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1898762,1900099,+,,,,,,,SY84_09445,1338,,
3711,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1900152,1900829,-,,,,,,,SY84_09450,678,,
3713,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1900913,1902148,-,,,,,,,SY84_09455,1236,,
3715,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1902375,1902827,-,,,,,,,SY84_09460,453,,
3717,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1903096,1903647,-,,,,,,,SY84_09465,552,,
3719,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1903751,1904308,-,,,,,,,SY84_09470,558,,
3721,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1904514,1905149,-,,,,,,,SY84_09475,636,,
3723,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1905275,1905931,-,,,,,,,SY84_09480,657,,
3725,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1906224,1906616,-,,,,,,,SY84_09485,393,,
3727,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1906762,1907682,+,,,,,,,SY84_09490,921,,
3729,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1907714,1908298,+,,,,,,,SY84_09495,585,,
3731,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1908505,1909191,+,,,,,,,SY84_09500,687,,
3733,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1909246,1910310,-,,,,,,,SY84_09505,1065,,
3735,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1910307,1911032,-,,,,,,,SY84_09510,726,,
3737,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1911029,1912240,-,,,,,,,SY84_09515,1212,,
3739,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1912944,1913228,+,,,,hypothetical protein,,,SY84_09520,285,,pseudo
3740,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1913602,1914600,+,,,,hypothetical protein,,,SY84_09525,999,,pseudo
3741,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1914615,1915241,+,,,,,,,SY84_09530,627,,
3743,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1915242,1915571,-,,,,,,,SY84_09535,330,,
3745,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1915628,1916014,-,,,,,,,SY84_09540,387,,
3747,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1916137,1916463,-,,,,,,,SY84_09545,327,,
3749,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1916548,1918095,-,,,,,,,SY84_09550,1548,,
3751,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1918652,1919809,-,,,,,,,SY84_09555,1158,,
3753,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1919883,1921007,+,,,,sporulation protein,,,SY84_09560,1125,,pseudo
3754,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1921130,1923895,+,,,,,,,SY84_09565,2766,,
3756,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1923929,1924981,+,,,,,,,SY84_09570,1053,,
3758,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1924995,1926596,-,,,,,,,SY84_09575,1602,,
3760,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1926693,1927364,-,,,,,,,SY84_09580,672,,
3762,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1927439,1928203,-,,,,,,,SY84_09585,765,,
3764,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1928427,1930268,+,,,,,,,SY84_09590,1842,,
3766,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1930698,1931480,-,,,,,,,SY84_09595,783,,
3768,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1931537,1931803,-,,,,,,,SY84_09600,267,,
3770,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1932210,1933319,-,,,,,,,SY84_09605,1110,,
3772,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1933394,1933900,+,,,,,,,SY84_09610,507,,
3774,gene,rRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1934278,1935784,+,,,,,,,SY84_09615,1507,,
3776,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1935883,1936992,-,,,,,,,SY84_09620,1110,,
3778,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1937211,1937390,-,,,,hypothetical protein,,,SY84_09625,180,,pseudo
3779,gene,tRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1937551,1937627,-,,,,,,,SY84_09630,77,,
3781,gene,tRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1937661,1937734,-,,,,,,,SY84_09635,74,,
3783,gene,tRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1937760,1937836,-,,,,,,,SY84_09640,77,,
3785,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1937935,1938816,+,,,,,,,SY84_09645,882,,
3787,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1938813,1939130,+,,,,,,,SY84_09650,318,,
3789,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1939141,1939602,+,,,,,,,SY84_09655,462,,
3791,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1939754,1940344,+,,,,,,,SY84_09660,591,,
3793,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1940390,1941067,+,,,,,,,SY84_09665,678,,
3795,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1941138,1942796,+,,,,,,,SY84_09670,1659,,
3797,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1942867,1943769,-,,,,,,,SY84_09675,903,,
3799,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1944021,1944275,-,,,,hypothetical protein,,,SY84_09680,255,,pseudo
3800,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1944275,1944715,-,,,,,,,SY84_09685,441,,
